id;distance_beech;distance_oak;distance_dgl;oak_regen;beech_regen;douglas_regen
33042;30;0;41,23105621;0;0;0
36325;1344,507324;914,1115723;311,4482422;0;0;0
15479;78,10250092;92,1954422;360,6937866;0;0;0
39547;183,8477783;150;44,72135925;0;0;0
18496;110,4536057;10;28,28427124;0;1;0
7550;425,4409485;370,5401611;600;0;0;0
30130;272,0294189;42,42640686;10;0;0;0
21976;20;10;20;1;0;0
21724;28,28427124;22,36067963;125,2996445;0;0;0
24345;60;14,14213562;10;0;0;0
8415;85,44003296;0;221,359436;1;16;0
35178;590,3388672;110;380,1315613;0;0;0
37003;141,4213562;121,6552582;98,99494934;0;0;0
25559;0;36,05551147;472,9693604;0;0;0
5093;10;22,36067963;572,7128906;0;0;0
24624;0;85,44003296;330,6054993;0;2;0
27253;50,99019623;28,28427124;670,6713257;0;0;0
25396;0;70;295,4657288;0;4;0
6767;100;108,1665421;210;0;0;0
25752;86,02325439;36,05551147;82,46211243;2;0;0
34150;420;294,2787781;104,4030685;0;0;0
5955;128,0624847;53,85164642;133,4166412;0;0;0
735;0;14,14213562;60,82762909;0;2;0
19915;67,08203888;20;174,6424866;0;0;0
16861;181,1077118;22,36067963;0;0;0;0
15010;80;165,5294647;200,2498474;0;0;0
33488;1297,574585;593,0429688;246,981781;0;0;0
1760;0;28,28427124;111,8033981;0;0;0
33305;441,0215454;193,1320801;50;1;0;0
1810;0;10;120,415947;0;0;0
34660;554,7071533;447,7722473;170,293869;0;0;0
33293;272,9468689;0;41,23105621;0;0;0
28329;362,2154236;0;70;1;0;0
32756;318,2766113;180,2775574;82,46211243;0;0;0
39956;76,1577301;0;224,7220459;13;0;0
38768;50,99019623;10;128,0624847;0;0;0
966;0;44,72135925;134,5362396;0;4;0
40489;250,7987213;64,03124237;90,5538559;0;0;0
43764;120,415947;100;90,5538559;0;0;0
15483;0;44,72135925;189,7366486;0;0;0
11504;70,7106781;1119,464233;639,5310669;0;0;0
40713;10;0;72,11102295;0;2;0
17154;210,9502258;188,6796265;0;0;0;2
8547;0;134,1640778;1053,612793;0;0;0
33096;401,6217041;140;63,24555206;0;0;0
19039;533,6665649;20;0;0;0;1
10011;50;245,9674835;1002,247437;0;0;0
23091;14,14213562;0;64,03124237;0;0;0
27784;953,5198364;102,9563065;200,9974976;0;0;0
28808;503,5871582;40;192,3538361;0;0;0
36899;320,1562195;310,48349;10;0;0;17
38155;441,0215454;0;380,7886353;5;0;0
27072;10;0;206,1552734;0;0;0
22765;67,08203888;0;340,587738;0;0;0
22344;31,62277603;0;235,3720398;0;0;0
1943;0;14,14213562;220,2271423;0;2;0
34996;0;28,28427124;147,6482239;1;26;0
39702;245,1530151;240,208252;72,80110168;1;0;0
34985;0;64,03124237;92,1954422;0;9;0
26963;0;30;131,5294647;0;0;0
35517;411,9465942;152,6433716;60,82762909;0;0;0
7273;190;408,0441284;482,5971069;0;0;0
39560;274,5906067;134,5362396;41,23105621;0;0;0
37495;1184,314087;644,0496826;152,9705811;0;0;0
33434;147,6482239;0;107,7032928;0;0;0
4415;10;0;28,28427124;0;0;0
13764;0;58,30951691;98,4885788;0;7;0
35567;172,62677;90,5538559;322,4902954;0;0;0
7087;233,4523621;827,6472168;406,0787964;0;0;0
32652;678,9697876;138,9244385;165,5294647;0;0;0
43880;2535,133057;242,0743713;654,5991211;0;0;0
30841;323,1098938;63,24555206;44,72135925;0;0;0
36181;161,5549469;10;60;0;0;0
21189;0;20;1349,740723;0;0;0
29363;824,1965332;130;10;2;0;4
20246;0;31,62277603;680,0735474;0;5;0
41143;174,9285583;0;104,4030685;0;0;0
12544;0;44,72135925;250;0;15;0
3566;107,7032928;100;272,0294189;0;0;0
3436;123,6931686;131,5294647;332,4154053;0;0;0
3832;123,6931686;248,3948517;474,1307983;0;0;0
43508;78,10250092;64,03124237;50;0;0;0
19619;0;31,62277603;214,0093384;0;30;0
10695;0;108,1665421;165,5294647;0;1;0
6277;0;148,6606903;236,0084686;0;0;0
26166;10;0;481,0405273;0;6;0
34932;326,9556274;130;90;0;0;0
35862;10;0;100;0;0;0
22106;0;141,4213562;350,1428223;0;0;0
22008;60;56,56854248;183,8477783;0;0;0
37894;224,7220459;164,9242249;58,30951691;1;0;0
5992;0;579,8275757;1807,01416;0;0;0
10420;30;101,9803925;31,62277603;0;0;0
1265;0;230;485,0773315;0;2;0
14461;130;110;70,7106781;0;0;0
16987;274,5906067;134,1640778;10;2;0;0
5557;125,2996445;196,9771576;370;0;0;0
10985;0;85,44003296;263,0589294;0;0;0
1532;20;108,1665421;53,85164642;0;0;0
31118;260,7680969;0;85,44003296;0;1;0
10264;78,10250092;116,6190338;94,33981323;0;0;0
21841;20;0;298,3286743;0;2;0
13244;0;70;352,2782898;0;2;0
9777;206,1552734;319,5309143;433,8202209;0;0;0
24054;0;22,36067963;474,3416748;1;14;0
44064;329,8484497;94,86832428;92,1954422;0;0;0
16478;80;85,44003296;63,24555206;0;0;0
37292;101,9803925;80,62257385;70,7106781;1;0;0
24253;104,4030685;40;10;1;0;0
40557;215,4065857;160,3121948;10;5;1;0
4863;0;72,11102295;86,02325439;0;0;0
30326;442,0407104;130,3840485;89,44271851;0;0;0
26680;10;0;389,101532;0;0;0
28513;440;60;0;0;0;12
8605;0;102,9563065;22,36067963;0;1;0
28729;50,99019623;10;14,14213562;0;0;0
18891;0;70,7106781;80,62257385;0;15;1
35358;447,2135925;336,1547241;291,5476074;1;0;0
7245;230;644,7479858;590,3388672;0;0;0
24879;0;20;92,1954422;0;0;0
11939;0;63,24555206;110;0;0;0
13281;10;0;300,8321838;0;3;0
37944;130;30;340,1470337;0;0;0
26243;28,28427124;0;180,2775574;0;0;0
6448;0;100;134,5362396;0;9;0
37417;458,0392761;70;53,85164642;5;0;0
15936;676,756958;233,4523621;0;0;0;0
16572;10;80,62257385;98,99494934;0;0;0
19052;742,4957886;427,2001953;213,7755737;0;0;0
43111;241,8677368;10;30;0;0;0
5400;0;72,80110168;424,4996948;0;2;0
36586;50;0;30;0;0;0
24304;41,23105621;31,62277603;113,137085;0;0;0
38692;292,745636;280;200;5;0;0
24404;0;22,36067963;36,05551147;0;0;0
37524;100;90;50,99019623;0;0;0
40962;441,4747925;250;220,2271423;0;0;0
37461;158,1138763;85,44003296;22,36067963;0;0;0
4718;58,30951691;0;425,4409485;0;0;0
